Regra,Média (µs),DP (µs),Min (µs),Max (µs),P99 (µs)
rule_grayhole_delay_change_sense,0.4081,0.4307,0.247,132.875,0.846
rule_injection_cb_status_alterado_go_id_alterado_delay_anomalo,0.4091,0.8371,0.325,237.271,0.917
rule_grayhole_sqnum,0.4092,1.3088,0.224,502.055,0.9295
rule_masquerade_fake_normal_falsification,0.4111,0.6823,0.241,146.488,0.83
rule_inverse_replay_mudanca_anomala_gooselengthdiff_apdusize,0.4113,1.1273,0.308,359.857,0.916
rule_inverse_replay_diferenca_de_tempo_pequena,0.4116,0.634,0.243,201.334,0.8345
rule_injection_eth_src_dst_anomais,0.4121,0.9222,0.339,273.014,0.8785
rule_inverse_replay_time_diff,0.4135,1.1793,0.241,452.044,0.823
rule_grayhole_cbstatus_change_sense,0.4136,0.9002,0.252,334.808,0.821
rule_high_StNum_frame_length_diff_correlated,0.4145,0.9844,0.306,324.757,0.965
rule_random_replay_stnum_sqnum_mismatch,0.415,0.7106,0.282,128.955,0.808
rule_injection_alternancia_entre_valores_normais_e_anomais,0.4161,1.2461,0.329,411.81,0.861
rule_masquerade_fake_fault_time_diff_anomaly_sequence,0.4168,0.7976,0.245,284.449,0.807
rule_poisoned_high_rate_tdiff,0.4176,0.6554,0.234,149.907,0.831
rule_injection_stdiff,0.4181,1.0496,0.23,370.561,0.846
rule_random_replay_sq_num_incremento_anomalo,0.4191,0.5379,0.278,184.722,0.808
rule_masquerade_fake_fault_time_diff_anomaly,0.4192,0.979,0.246,357.138,0.8115
rule_inverse_replay_sqnum_stnum,0.4195,0.696,0.294,187.75,0.776
rule_grayhole_ethsrc_dst_change,0.4196,0.9221,0.333,334.053,0.945
rule_masquerade_fake_fault_time_difference_anomaly_sequence,0.421,1.35,0.247,451.913,0.802
rule_grayhole_delay_change_sense_sequence,0.4215,0.4537,0.253,112.467,0.902
rule_random_replay_st_num_incremento_anomalo,0.4215,3.9413,0.278,1750.635,0.776
rule_masquerade_fake_fault_combination3,0.422,0.4573,0.349,135.191,0.879
rule_random_replay_cb_status_alterado_go_id_alterado_delay_anomalo,0.4243,0.5396,0.243,100.844,1.057
